MATERIAL,PIEZAS,PRECIO
Arduino,1,$350.00
Arduino uno (original),1,$850.00
Cautín de 30 W,1,$200.00
Header hembra de 40 pines,9,$36.00
Led rojo,1000,$200.00
Paquete de cables jumpers (120 cables),2,$160.00
Placa fenólica perforada ,2,$100.00
Push Boton 2 Pines,4,$30.00
MAX7219 8x8 Módulo De Pantalla De Matriz De Puntos LED,1,$150.00
Resistencia de 150 ohms,300,$150.00
Soldadura 60/40,1 Rollo,$200.00
módulo de controlador de pantalla de matriz de puntos LED MAX7219,1,$350.00
Red OK Cable Placa de circuito ,5m,$15.00
Fuente de poder ,1,$300.00
1pc Para Arduino Módulo De Joystick XY De Doble Eje Mayor ,1,$100.00
Steren CAU-170 Desoldador de Succion de Aire Chico de Aluminio,1,$200.00
Corta uñas,1,$15.00
pinza para pelar cable,1,$60.00
pinzas de punta ,2,$200.00
TOTAL,,"$3,666.00"
